,Date,Dillingen,Kempten,Lenggries
0,2017-01-01,70.1,12.2,8.64
1,2017-01-02,64.5,12.4,8.54
2,2017-01-03,64.5,12.3,8.47
3,2017-01-04,64.4,12.0,8.45
4,2017-01-05,67.7,12.3,8.51
5,2017-01-06,64.6,11.7,8.36
6,2017-01-07,56.9,10.6,8.35
7,2017-01-08,60.1,12.5,8.4
8,2017-01-09,56.7,11.7,8.32
9,2017-01-10,62.5,11.6,8.32
10,2017-01-11,60.2,11.8,8.32
11,2017-01-12,72.3,16.2,9.17
12,2017-01-13,95.0,25.0,9.29
13,2017-01-14,102.0,19.4,9.08
14,2017-01-15,71.6,17.0,8.75
15,2017-01-16,66.7,15.7,8.75
16,2017-01-17,69.0,14.9,8.72
17,2017-01-18,61.2,13.9,8.41
18,2017-01-19,66.5,13.1,8.38
19,2017-01-20,59.8,12.5,8.67
20,2017-01-21,59.5,13.5,8.53
21,2017-01-22,57.3,13.3,8.46
22,2017-01-23,64.6,13.3,8.38
23,2017-01-24,65.3,12.2,8.33
24,2017-01-25,64.7,11.5,8.33
25,2017-01-26,60.3,11.2,8.32
26,2017-01-27,65.1,11.4,8.32
27,2017-01-28,59.6,11.4,8.32
28,2017-01-29,67.8,11.4,8.32
29,2017-01-30,66.5,11.8,8.32
30,2017-01-31,102.0,29.4,12.9
31,2017-02-01,255.0,79.5,22.6
32,2017-02-02,185.0,53.1,22.5
33,2017-02-03,168.0,45.6,22.0
34,2017-02-04,156.0,40.8,20.8
35,2017-02-05,137.0,35.5,17.6
36,2017-02-06,125.0,30.2,14.0
37,2017-02-07,115.0,24.9,12.8
38,2017-02-08,102.0,23.2,11.5
39,2017-02-09,100.0,21.3,10.4
40,2017-02-10,93.7,20.3,9.99
41,2017-02-11,86.7,19.3,9.69
42,2017-02-12,93.1,19.0,9.43
43,2017-02-13,77.5,18.3,9.28
44,2017-02-14,76.5,17.7,9.09
45,2017-02-15,77.1,18.2,9.09
46,2017-02-16,74.0,19.2,9.17
47,2017-02-17,98.7,33.0,10.2
48,2017-02-18,129.0,33.2,10.6
49,2017-02-19,114.0,27.8,10.6
50,2017-02-20,94.0,24.3,10.3
51,2017-02-21,111.0,40.7,22.6
52,2017-02-22,208.0,111.0,38.4
53,2017-02-23,201.0,67.9,36.2
54,2017-02-24,156.0,56.6,33.4
55,2017-02-25,157.0,43.5,24.9
56,2017-02-26,133.0,35.3,18.4
57,2017-02-27,133.0,32.0,15.5
58,2017-02-28,126.0,32.7,15.2
59,2017-03-01,143.0,36.7,14.7
60,2017-03-02,160.0,58.9,15.2
61,2017-03-03,203.0,50.7,15.1
62,2017-03-04,188.0,41.1,14.8
63,2017-03-05,169.0,41.3,15.5
64,2017-03-06,155.0,38.5,14.4
65,2017-03-07,177.0,42.0,16.1
66,2017-03-08,207.0,38.8,17.7
67,2017-03-09,291.0,182.0,98.2
68,2017-03-10,505.0,194.0,116.0
69,2017-03-11,340.0,84.0,60.1
70,2017-03-12,276.0,59.3,39.5
71,2017-03-13,235.0,49.2,28.2
72,2017-03-14,190.0,41.6,23.5
73,2017-03-15,171.0,37.5,20.9
74,2017-03-16,161.0,37.3,20.2
75,2017-03-17,160.0,38.6,20.0
76,2017-03-18,153.0,70.6,25.4
77,2017-03-19,324.0,201.0,70.6
78,2017-03-20,281.0,105.0,57.0
79,2017-03-21,211.0,74.1,32.9
80,2017-03-22,180.0,63.2,25.1
81,2017-03-23,180.0,52.6,20.6
82,2017-03-24,153.0,47.9,19.3
83,2017-03-25,134.0,43.1,18.4
84,2017-03-26,153.0,44.0,17.9
85,2017-03-27,141.0,36.4,16.4
86,2017-03-28,116.0,35.2,14.8
87,2017-03-29,117.0,36.3,14.3
88,2017-03-30,112.0,37.1,14.1
89,2017-03-31,121.0,37.0,13.8
90,2017-04-01,120.0,37.8,13.5
91,2017-04-02,106.0,35.1,13.4
92,2017-04-03,114.0,37.4,13.5
93,2017-04-04,128.0,44.7,16.7
94,2017-04-05,126.0,39.1,16.0
95,2017-04-06,108.0,32.8,15.0
96,2017-04-07,104.0,30.3,14.3
97,2017-04-08,96.7,28.3,13.9
98,2017-04-09,85.1,30.6,13.7
99,2017-04-10,101.0,33.8,13.8
100,2017-04-11,105.0,37.9,14.4
101,2017-04-12,101.0,34.4,14.1
102,2017-04-13,92.8,32.0,14.0
103,2017-04-14,93.4,28.7,14.0
104,2017-04-15,82.1,29.5,14.6
105,2017-04-16,99.1,45.7,18.1
106,2017-04-17,138.0,52.7,21.7
107,2017-04-18,156.0,62.2,22.5
108,2017-04-19,132.0,47.1,17.0
109,2017-04-20,122.0,40.5,15.4
110,2017-04-21,103.0,38.0,15.1
111,2017-04-22,104.0,38.8,17.0
112,2017-04-23,104.0,46.8,22.0
113,2017-04-24,116.0,44.2,22.0
114,2017-04-25,126.0,52.9,27.2
115,2017-04-26,233.0,65.3,26.5
116,2017-04-27,256.0,64.1,25.2
117,2017-04-28,329.0,61.5,24.0
118,2017-04-29,296.0,56.9,24.3
119,2017-04-30,282.0,59.6,27.0
120,2017-05-01,229.0,59.5,31.7
121,2017-05-02,303.0,60.3,40.9
122,2017-05-03,262.0,55.9,35.4
123,2017-05-04,220.0,51.5,33.7
124,2017-05-05,232.0,52.1,37.1
125,2017-05-06,209.0,50.9,33.5
126,2017-05-07,230.0,96.0,39.4
127,2017-05-08,334.0,115.0,50.2
128,2017-05-09,449.0,119.0,56.2
129,2017-05-10,320.0,74.3,42.3
130,2017-05-11,256.0,63.1,41.7
131,2017-05-12,224.0,61.0,36.0
132,2017-05-13,232.0,67.2,34.7
133,2017-05-14,239.0,104.0,34.1
134,2017-05-15,253.0,91.1,37.4
135,2017-05-16,215.0,69.5,33.3
136,2017-05-17,178.0,61.2,29.7
137,2017-05-18,187.0,63.1,26.5
138,2017-05-19,167.0,62.8,22.8
139,2017-05-20,196.0,57.8,20.1
140,2017-05-21,148.0,43.2,18.3
141,2017-05-22,149.0,42.0,17.6
142,2017-05-23,138.0,45.4,23.9
143,2017-05-24,142.0,50.0,24.4
144,2017-05-25,133.0,50.3,15.6
145,2017-05-26,136.0,43.8,14.8
146,2017-05-27,122.0,42.4,14.5
147,2017-05-28,128.0,42.8,14.2
148,2017-05-29,120.0,42.7,13.7
149,2017-05-30,123.0,43.2,13.7
150,2017-05-31,125.0,45.6,18.2
151,2017-06-01,125.0,47.6,17.4
152,2017-06-02,123.0,45.6,16.8
153,2017-06-03,122.0,39.6,17.0
154,2017-06-04,148.0,52.0,18.7
155,2017-06-05,144.0,52.0,19.9
156,2017-06-06,139.0,55.6,23.6
157,2017-06-07,185.0,73.6,23.7
158,2017-06-08,133.0,45.8,19.2
159,2017-06-09,113.0,36.8,17.8
160,2017-06-10,115.0,34.9,17.3
161,2017-06-11,111.0,32.6,16.8
162,2017-06-12,93.9,31.6,16.5
163,2017-06-13,107.0,30.7,15.7
164,2017-06-14,87.2,28.9,16.2
165,2017-06-15,97.3,27.8,16.0
166,2017-06-16,116.0,47.6,17.5
167,2017-06-17,107.0,34.9,16.6
168,2017-06-18,90.9,26.6,15.9
169,2017-06-19,95.8,24.0,15.0
170,2017-06-20,85.9,22.6,14.1
171,2017-06-21,96.8,22.2,15.8
172,2017-06-22,91.2,20.3,14.1
173,2017-06-23,77.3,22.2,14.5
174,2017-06-24,87.7,21.4,14.5
175,2017-06-25,74.4,28.4,14.6
176,2017-06-26,93.0,27.3,14.5
177,2017-06-27,85.2,25.3,15.2
178,2017-06-28,88.8,23.3,15.6
179,2017-06-29,148.0,39.1,14.8
180,2017-06-30,121.0,48.7,16.3
181,2017-07-01,105.0,44.3,16.7
182,2017-07-02,109.0,40.7,16.7
183,2017-07-03,119.0,70.0,29.8
184,2017-07-04,132.0,50.8,19.0
185,2017-07-05,92.4,34.6,16.5
186,2017-07-06,72.9,27.1,15.8
187,2017-07-07,81.4,24.6,15.7
188,2017-07-08,91.4,24.1,24.8
189,2017-07-09,102.0,33.6,19.1
190,2017-07-10,116.0,27.9,23.9
191,2017-07-11,142.0,46.9,42.7
192,2017-07-12,117.0,37.5,33.2
193,2017-07-13,96.3,49.5,39.9
194,2017-07-14,116.0,45.6,45.8
195,2017-07-15,132.0,71.2,63.4
196,2017-07-16,120.0,44.9,56.7
197,2017-07-17,95.2,33.5,39.8
198,2017-07-18,90.1,29.5,30.0
199,2017-07-19,101.0,41.2,28.6
200,2017-07-20,100.0,41.7,28.8
201,2017-07-21,113.0,36.0,27.0
202,2017-07-22,113.0,44.4,23.4
203,2017-07-23,128.0,43.2,26.9
204,2017-07-24,118.0,52.0,32.8
205,2017-07-25,203.0,177.0,43.6
206,2017-07-26,361.0,286.0,119.0
207,2017-07-27,474.0,242.0,157.0
208,2017-07-28,296.0,136.0,134.0
209,2017-07-29,249.0,97.3,106.0
210,2017-07-30,193.0,67.9,61.7
211,2017-07-31,187.0,54.2,44.3
212,2017-08-01,143.0,43.5,41.5
213,2017-08-02,154.0,39.9,36.0
214,2017-08-03,141.0,34.3,34.2
215,2017-08-04,131.0,28.9,33.6
216,2017-08-05,118.0,26.3,33.2
217,2017-08-06,107.0,30.7,34.8
218,2017-08-07,102.0,25.2,30.4
219,2017-08-08,78.9,24.0,26.3
220,2017-08-09,119.0,78.6,32.8
221,2017-08-10,142.0,48.0,28.7
222,2017-08-11,128.0,64.0,56.7
223,2017-08-12,152.0,81.4,59.2
224,2017-08-13,163.0,63.0,62.5
225,2017-08-14,98.2,44.0,57.9
226,2017-08-15,83.5,36.2,53.2
227,2017-08-16,127.0,36.7,54.6
228,2017-08-17,95.7,30.8,54.0
229,2017-08-18,81.8,29.9,59.6
230,2017-08-19,148.0,56.4,59.4
231,2017-08-20,140.0,52.4,36.9
232,2017-08-21,97.3,38.8,26.6
233,2017-08-22,86.3,30.8,19.8
234,2017-08-23,73.4,26.3,18.5
235,2017-08-24,67.2,24.3,18.0
236,2017-08-25,61.8,23.6,22.6
237,2017-08-26,54.0,21.3,23.2
238,2017-08-27,50.4,19.9,23.4
239,2017-08-28,65.5,19.2,21.7
240,2017-08-29,40.6,17.2,22.0
241,2017-08-30,44.0,16.3,26.0
242,2017-08-31,61.4,18.1,29.3
243,2017-09-01,308.0,140.0,54.9
244,2017-09-02,441.0,233.0,94.4
245,2017-09-03,426.0,179.0,127.0
246,2017-09-04,275.0,99.8,118.0
247,2017-09-05,194.0,82.5,113.0
248,2017-09-06,169.0,77.5,114.0
249,2017-09-07,171.0,73.7,99.9
250,2017-09-08,142.0,51.0,58.0
251,2017-09-09,129.0,42.4,38.2
252,2017-09-10,147.0,63.7,33.9
253,2017-09-11,166.0,52.5,31.4
254,2017-09-12,133.0,47.9,28.2
255,2017-09-13,149.0,56.7,27.5
256,2017-09-14,145.0,65.5,24.8
257,2017-09-15,191.0,66.4,22.4
258,2017-09-16,145.0,60.5,23.1
259,2017-09-17,152.0,53.8,22.6
260,2017-09-18,133.0,46.6,21.6
261,2017-09-19,126.0,42.8,22.4
262,2017-09-20,127.0,46.4,28.6
263,2017-09-21,138.0,42.2,24.8
264,2017-09-22,109.0,35.8,19.5
265,2017-09-23,108.0,32.2,17.8
266,2017-09-24,100.0,32.6,17.0
267,2017-09-25,111.0,32.7,16.3
268,2017-09-26,108.0,28.9,15.9
269,2017-09-27,109.0,28.3,15.6
270,2017-09-28,105.0,26.0,15.3
271,2017-09-29,97.4,23.2,16.6
